"ID_FIRM","P1110_B","P1110_E","P1120_B","P1120_E","P1130_B","P1130_E","P1140_B","P1140_E","P1150_B","P1150_E","P1160_B","P1160_E","P1170_B","P1170_E","P1180_B","P1180_E","P1190_B","P1190_E","P1100_B","P1100_E","P1210_B","P1210_E","P1220_B","P1220_E","P1230_B","P1230_E","P1240_B","P1240_E","P1250_B","P1250_E","P1260_B","P1260_E","P1200_B","P1200_E","P1600_B","P1600_E","P1310_B","P1310_E","P1320_B","P1320_E","P1340_B","P1340_E","P1350_B","P1350_E","P1360_B","P1360_E","P1370_B","P1370_E","P1300_B","P1300_E","P1410_B","P1410_E","P1420_B","P1420_E","P1430_B","P1430_E","P1450_B","P1450_E","P1400_B","P1400_E","P1510_B","P1510_E","P1520_B","P1520_E","P1530_B","P1530_E","P1540_B","P1540_E","P1550_B","P1550_E","P1500_B","P1500_E","P1700_B","P1700_E","P2110_B","P2110_E","P2120_B","P2120_E","P2100_B","P2100_E","P2210_B","P2210_E","P2220_B","P2220_E","P2200_B","P2200_E","P2310_B","P2310_E","P2320_B","P2320_E","P2330_B","P2330_E","P2340_B","P2340_E","P2350_B","P2350_E","P2300_B","P2300_E","P2410_B","P2410_E","P2421_B","P2421_E","P2430_B","P2430_E","P2450_B","P2450_E","P2460_B","P2460_E","P2400_B","P2400_E","BANKR"
1,8,7,0,0,0,0,0,0,402,398,0,0,115,96,0,0,0,0,525,501,2,2,0,0,3640,2174,28672,26515,2117,1694,89,155,34520,30540,35045,31041,785,785,0,0,0,0,13770,13770,114,114,19949,16589,34618,31258,0,0,0,0,0,0,0,0,0,0,0,0,824,5,0,0,0,0,0,0,824,5,35442,31263,14702,14581,0,0,14702,14581,5256,5513,24917,23451,-15471,-14383,19246,17024,2699,2517,0,0,49,3,4884,4460,1639,701,78,80,345,161,0,0,0,0,0,0,1561,621,0
2,0,0,3318,3318,0,0,0,0,208809,205131,2912,1903,491773,491773,34802,103655,0,0,741614,805780,434461,433941,11,37,86212,30911,283443,283443,380,990,34196,0,838703,749322,1580317,1555102,49,49,0,0,83645,83645,4155,4155,7,7,-1334919,-1352890,-1247063,-1265034,862614,862614,3,28,0,0,0,0,862617,862642,1047653,1047653,954159,949641,0,0,0,0,0,0,2001812,1997294,1617366,1594902,29850,25406,12736,31289,17114,-5883,0,0,0,0,17114,-5883,0,0,0,0,0,0,160326,0,192736,1689,-15296,-7572,0,0,0,0,0,0,0,0,0,8551,-15296,-16123,0
3,0,0,0,0,0,0,0,0,237,237,0,0,0,0,0,0,0,0,237,237,2800,2800,0,0,176862,173412,123778,123778,0,0,0,0,303440,299990,303677,300227,3,3,0,0,0,0,0,0,0,0,-5452,-6861,-5449,-6858,0,0,0,0,0,0,0,0,0,0,16045,17492,290829,295797,0,0,0,0,0,0,306874,313289,301425,306431,0,0,0,0,0,0,0,0,432,272,-432,-272,0,0,0,0,395,358,691,0,2024,745,-2160,-1375,0,0,0,0,0,0,0,0,6,0,-2166,-1375,0
4,0,0,0,0,0,0,0,0,15428,15364,0,0,0,0,4,0,0,0,15432,15364,3,3,66,66,383,474,0,0,1519,2460,21,21,1992,3024,17424,18388,19,19,0,0,5483,5483,0,0,5,5,10499,11020,16006,16527,0,0,0,22,0,0,0,0,0,22,0,0,1790,1794,0,0,19,29,0,0,1809,1823,17815,18372,6424,6304,4529,4768,1895,1536,0,0,351,341,1544,1195,0,0,0,0,0,0,0,33,4672,498,-3128,730,262,210,0,-55,0,22,0,4,0,0,-3390,502,0
5,0,0,0,0,0,0,0,0,340249,348946,0,0,239178,227763,0,0,22062,22062,601489,598771,673674,673304,23,18,186752,149459,60585,64934,8258,6973,484,249,929776,894937,1531265,1493708,101754,101754,0,0,314918,314918,259907,259907,2962,3292,110968,118550,790509,798421,90030,52890,0,11,0,0,0,0,90030,52901,6119,2472,622569,628970,161,81,0,0,0,0,628849,631523,1509388,1482845,131384,137159,49713,46841,81671,90318,0,0,44373,62677,37298,27641,0,0,3267,1462,7711,11318,348714,29675,351553,38858,30015,8602,3779,2491,-1045,-895,0,11,0,0,105,0,26131,6100,0
6,0,0,0,0,0,0,0,0,63633,64161,0,0,113987,112643,0,0,0,0,177620,176804,52985,50532,0,0,25355,33190,45665,50881,2743,2859,0,0,126748,137462,304368,314266,652,652,0,0,32764,32764,55967,55967,411,411,174396,187854,264190,277648,24870,24870,0,0,0,0,0,0,24870,24870,0,0,11825,10664,0,0,0,0,0,0,11825,10664,300885,313182,36010,37026,22065,34821,13945,2205,0,0,6513,5441,7432,-3236,2469,5296,10921,11397,0,0,202,3585,1020,1696,20004,15346,0,0,0,0,0,0,0,0,1187,1336,18817,14010,0
7,0,0,0,0,0,0,0,0,748,713,0,0,0,0,0,0,0,0,748,713,159,145,0,0,253,425,0,0,202,355,0,0,614,925,1362,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,114,0,114,2515,2343,2270,2081,245,262,0,0,0,0,245,262,0,0,0,0,0,0,38,35,0,0,283,297,78,73,0,0,0,0,0,0,0,0,205,224,0
8,0,0,0,0,0,0,0,0,47681,52305,0,0,0,0,106,118,0,0,47787,52423,2561,2010,311,311,9654,16126,2174,2046,16623,17941,220,299,31543,38733,79330,91156,19917,19917,0,0,0,0,0,0,962,949,28267,29998,49146,50864,0,0,639,707,0,0,0,0,639,707,3775,0,27114,38098,0,0,0,0,0,0,30889,38098,80674,89669,129846,133745,103089,113180,26757,20565,0,0,0,0,26757,20565,0,0,1064,439,0,0,3,252,16198,19504,11626,1752,3813,4355,-2814,-3221,67,68,2,12,0,0,7748,-2659,0
9,13629,15668,0,0,0,0,0,0,1958068,8602134,2613828,1824850,123374,127837,79189,71270,15229,22821,4803317,10664580,22349,36713,7394,9527,419897,979049,12238,0,4916876,20061791,0,0,5378754,21087080,10182071,31751660,64164,64164,0,0,141598,106362,0,0,3172,3172,504010,545341,712944,719039,0,0,96397,69589,0,0,5357,3978,101754,73567,114302,1319966,7985815,24383200,981319,859624,29604,42866,372338,3959738,9483378,30565394,10298076,31358000,1469801,1277644,2854984,2714123,-1385183,-1436479,154,0,427938,537330,-1813275,-1973809,0,0,200710,226192,28638,67721,3045885,3616006,995835,1900365,408847,-99697,34327,44247,9795,17639,37997,28092,2452,7707,558,0,338417,-164329,0
10,15263043,19753757,2517184,1913810,119268635,116573965,51036160,54127077,7820673202,7757058279,0,0,2645281404,2922750037,76315368,155912261,28581358,31698999,10758936354,11059788185,501618314,555091193,69962597,47465637,1713724485,1775069509,270168192,514230352,445636741,473413290,3017051,1962132,3004127380,3367232113,13763063734,14427020298,119044023,119044023,0,0,5794684669,5724165050,0,0,8748689,8748689,4462844473,4277986959,10385321854,10129944721,1472690319,1471554989,485308373,535017052,7843490,9139256,2381914,2396338,1968224096,2018107635,643567231,949340807,775046663,960711624,0,0,89917613,135173218,0,0,1508531507,2045225649,13862077457,14193278005,4022179141,4211708588,2233394214,2519208748,1788784927,1692499840,1296827699,1316434309,94081241,98250106,397875987,277815425,135085520,356994075,66422768,68383743,118441491,95190667,1427012161,737919402,1186797330,1222247379,721157615,123674599,142200532,130029104,127471613,127942184,88042148,46325948,4969868,76220001,2008662,1237753,493876141,22301795,0
11,22978797,23227596,3312826,4836792,80346626,112742091,11450458,26153635,1054901430,1163345465,0,0,5604739772,6026230268,69678332,96482259,33386029,31544748,6880794270,7484562854,113140436,138432364,56566863,71068914,1484561000,2509914450,918522437,723800419,601638606,113579068,7754567,8631356,3182183909,3565426571,10062978179,11049989425,102987,102987,0,0,15,5,112367742,113301426,5451,5451,1818856308,1849699139,1931332503,1963109008,4414487783,5193771990,76799321,93010492,50381757,60930309,1516977200,1406537712,6058646061,6754250503,540590981,835947855,1725776014,1733736030,1826437,2729573,23177598,20094870,373379,407688,2291744409,2592916016,10281722973,11310275527,4305808497,5026784259,2887468900,3499215339,1418339597,1527568920,982254838,969916727,64929051,68085706,371155708,489566487,0,0,163114548,178657343,352175621,387906223,274519038,332509865,428703848,419983719,27909825,192843753,46257423,12420508,98405,43498258,9114203,12210991,52914476,27541571,30573067,28756831,-5120392,166996994,0
